epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,298.728,1.32854,0.69397,1,0.98376,0.000409483,0.000409483,0.000409483
2,635.363,0.97535,0.76401,1,0.70253,0.000798886,0.000798886,0.000798886
3,990.27,0.82676,0.85129,1,0.36878,0.00116079,0.00116079,0.00116079
4,1342.84,0.75811,0.86315,1,0.34619,0.00112625,0.00112625,0.00112625
5,1694.55,0.65777,0.88362,1,0.32419,0.001085,0.001085,0.001085
6,2049.65,0.65226,0.89224,1,0.29257,0.00104375,0.00104375,0.00104375
7,2400.81,0.51487,0.94828,1,0.16925,0.0010025,0.0010025,0.0010025
8,2752.17,0.50852,0.96013,1,0.14185,0.00096125,0.00096125,0.00096125
9,3349.25,0.44331,0.95043,1,0.12792,0.00092,0.00092,0.00092
10,3720.68,0.4237,0.95151,1,0.14663,0.00087875,0.00087875,0.00087875
11,4089.75,0.42273,0.97198,1,0.09586,0.0008375,0.0008375,0.0008375
12,4459.32,0.35462,0.97414,1,0.08109,0.00079625,0.00079625,0.00079625
13,4834.37,0.34065,0.98276,1,0.06868,0.000755,0.000755,0.000755
14,5209.16,0.31326,0.97737,1,0.06674,0.00071375,0.00071375,0.00071375
15,5581.05,0.30546,0.97522,1,0.07202,0.0006725,0.0006725,0.0006725
16,5932.92,0.30508,0.97845,1,0.06277,0.00063125,0.00063125,0.00063125
17,6093,0.29245,0.98707,1,0.05271,0.00059,0.00059,0.00059
18,6232.18,0.23245,0.98276,1,0.05327,0.00054875,0.00054875,0.00054875
19,6371.14,0.23904,0.97737,1,0.06101,0.0005075,0.0005075,0.0005075
20,6503.14,0.25351,0.98922,1,0.03897,0.00046625,0.00046625,0.00046625
21,6633.6,0.25769,0.99246,1,0.03844,0.000425,0.000425,0.000425
22,6767.64,0.21559,0.98922,1,0.0419,0.00038375,0.00038375,0.00038375
23,6904.29,0.22669,0.99246,1,0.03559,0.0003425,0.0003425,0.0003425
24,7035.9,0.22203,0.97737,1,0.07075,0.00030125,0.00030125,0.00030125
25,7167.04,0.22502,0.99246,1,0.03367,0.00026,0.00026,0.00026
26,7297.42,0.2028,0.98922,1,0.02964,0.00021875,0.00021875,0.00021875
27,7429.44,0.17796,0.98922,1,0.03393,0.0001775,0.0001775,0.0001775
28,7561.41,0.22801,0.98922,1,0.03249,0.00013625,0.00013625,0.00013625
29,7692.1,0.18547,0.98922,1,0.0345,9.5e-05,9.5e-05,9.5e-05
30,7823.33,0.17223,0.98922,1,0.03787,5.375e-05,5.375e-05,5.375e-05
